osiics_15_code;osiics_15_diagnosis;osiics_15_body_part;osiics_15_tissue;osiics_15_pathology;osiics_15_organ_system;osiics_15_eitiology
KP4;Knee Impingement/Synovitis/Biomechanical Lesion not associated with other conditions;Knee;Non-specific ;Pain without tissue type specified ;;
KCP;Patellofemoral joint chondral pain;Knee;Cartilage/synovium/bursa ;Cartilage ;;
KPA;Patellofemoral pain with patellar tendinopathy;Knee;Non-specific ;Pain without tissue type specified ;;
KQH;Hoffa's fat pad impingement;Knee;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
KGPB;Patella symptoms related to bipartite patella;Knee;Bone ;Physis injury ;;
KT1;Iliotibial band syndrome;Knee;Muscle/tendon ;Tendinopathy ;;
KQS;Knee Joint synovitis;Knee;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
KQ3;Synovial plica of knee;Knee;Non-specific ;Pain without tissue type specified ;;
KQB;Baker's cyst;Knee;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
QQ1;Ruptured Baker's Cyst;Lower leg;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
KFX;Knee Fractures;Knee;Bone ;Fracture ;;
KF1;Patella fracture;Knee;Bone ;Fracture ;;
KFF;Distal femoral fracture;Knee;Bone ;Fracture ;;
KF2;Intraarticular femoral fracture;Knee;Bone ;Fracture ;;
KFT;Proximal tibial fracture;Knee;Bone ;Fracture ;;
KFI;Intraarticular tibial fracture;Knee;Bone ;Fracture ;;
KSX;Knee Stress Fracture;Knee;Bone ;Bone stress injury ;;
KSP;Patellar stress fracture;Knee;Bone ;Bone stress injury ;;
KS1;Distal femoral stress fracture;Knee;Bone ;Bone stress injury ;;
QS1;Proximal tibial stress fracture;Lower leg;Bone ;Bone stress injury ;;
KA1;Knee osteoarthritis (O/A);Knee;Cartilage/synovium/bursa ;Arthritis ;;
KAP;Patellofemoral osteoarthritis;Knee;Cartilage/synovium/bursa ;Arthritis ;;
KAM;Medial compartment osteoarthritis knee;Knee;Cartilage/synovium/bursa ;Arthritis ;;
KAL;Lateral compartment osteoarthritis knee;Knee;Cartilage/synovium/bursa ;Arthritis ;;
KAG;Bi- or tri-compartmental osteoarthritis;Knee;Cartilage/synovium/bursa ;Arthritis ;;
KZ1;Knee Pain/Injury Not otherwise specified;Knee;Non-specific ;Unknown;;
KZZ;Knee pain undiagnosed;Knee;Non-specific ;Unknown;;
KZS;Post knee Surgery;Knee;Non-specific ;Unknown;;
KZ2;Knee haemarthrosis cause undiagnosed;Knee;Non-specific ;Unknown;;
MRIK;Infected knee joint;Medical;;;Musculoskeletal ;Infection
QH1;Leg Soft Tissue Bruising/Haematoma;Lower leg;Muscle/tendon ;Muscle contusion ;;
QVT;Pretibial periosteal bruising/haematoma;Lower leg;Vessels;Contusion/vascular;;
QHM;Lower leg muscle haematoma;Lower leg;Muscle/tendon ;Muscle contusion ;;
QHA;Tib anterior haematoma;Lower leg;Muscle/tendon ;Muscle contusion ;;
QH2;Calf contusion/haematoma;Lower leg;Muscle/tendon ;Muscle contusion ;;
QF1;Fractured tibia +/- fibula;Lower leg;Bone ;Fracture ;;
QHP;Peroneal Haematoma;Lower leg;Muscle/tendon ;Muscle contusion ;;
QFF;Fractured fibula;Lower leg;Bone ;Fracture ;;
QHZ;Other shin soft tissue bruising/haematoma not otherwise specified;Lower leg;Muscle/tendon ;Muscle contusion ;;
QK1;Lower Leg Laceration;Lower leg;Superficial tissues/skin ;Laceration ;;
QKXI;Infection as complication of lower leg laceration/abrasion;Lower leg;Superficial tissues/skin ;Laceration ;;
QKXQ;Other complication of lower leg laceration/abrasion;Lower leg;Superficial tissues/skin ;Laceration ;;
QIS;Shin abrasion;Lower leg;Superficial tissues/skin ;Abrasion ;;
QK2;Calf laceration/abrasion;Lower leg;Superficial tissues/skin ;Laceration ;;
QMX;Lower leg muscle Injury;Lower leg;Muscle/tendon ;Muscle injury;;
QMA;Anterior compartment muscle injury;Lower leg;Muscle/tendon ;Muscle injury;;
QMLX;Lateral compartment muscle injury;Lower leg;Muscle/tendon ;Muscle injury;;
QM1;Gastrocnemius muscle injury/strain;Lower leg;Muscle/tendon ;Muscle injury;;
QMM;Medial gastroc strain;Lower leg;Muscle/tendon ;Muscle injury;;
QML;Lateral gastroc strain;Lower leg;Muscle/tendon ;Muscle injury;;
QMS;Soleus muscle strain;Lower leg;Muscle/tendon ;Muscle injury;;
QMSA;Soleus strain a/w accessory soleus;Lower leg;Muscle/tendon ;Muscle injury;;
QMT;Calf muscle cramps/spasm;Lower leg;Muscle/tendon ;Muscle injury;;
QMD;Delayed onset muscle soreness;Lower leg;Muscle/tendon ;Muscle injury;;
QMYG;Gastroc muscle trigger points/spasm;Lower leg;Muscle/tendon ;Muscle injury;;
QPS;Soleus Trigger points/Spasm;Lower leg;Non-specific ;Pain without tissue type specified ;;
QMYP;Peroneal trigger points/spasm;Lower leg;Muscle/tendon ;Muscle injury;;
ZT8;Tendinopathy location unspecified;Unknown;Muscle/tendon ;Tendinopathy ;;
XT8;Tendinopathy crossing anatomical boundaries;Multiple;Muscle/tendon ;Tendinopathy ;;
QFX;Lower Leg Fractures;Lower leg;Bone ;Fracture ;;
QFZ;Compound fractured tibia +/- fibula;Lower leg;Bone ;Fracture ;;
QFO;Fractured midshaft tibia  ;Lower leg;Bone ;Fracture ;;
QFT;Fractured midshaft tibia and fibula;Lower leg;Bone ;Fracture ;;
QFQ;Fractured tibia +/- fibula  with other complication (e.g. compartment syndrome);Lower leg;Bone ;Fracture ;;
QFH;Fractured proximal fibula;Lower leg;Bone ;Fracture ;;
QFM;Fractured midshaft fibula;Lower leg;Bone ;Fracture ;;
QF2;Fractured distal shaft fibula;Lower leg;Bone ;Fracture ;;
QFS;Fractured mid-fibula with associated syndesmosis injury ankle;Lower leg;Bone ;Fracture ;;
QFN;Fractured fibula with associated peroneal nerve injury;Lower leg;Bone ;Fracture ;;
QJX;Lower leg bone contusion  ;Lower leg;Bone ;Bone contusion  ;;
QST;Stress fracture tibia;Lower leg;Bone ;Bone stress injury ;;
QSA;Stress fracture anterior cortex tibia;Lower leg;Bone ;Bone stress injury ;;
QSP;Stress fracture posteromedial tibia;Lower leg;Bone ;Bone stress injury ;;
QS2;Stress fracture fibula;Lower leg;Bone ;Bone stress injury ;;
QPY;Other Leg Overuse Injury;Lower leg;Non-specific ;Pain without tissue type specified ;;
QYP;Posterior compartment syndrome;Lower leg;Muscle/tendon ;Muscle compartment syndrome ;;
QYA;Anterior compartment syndrome ;Lower leg;Muscle/tendon ;Muscle compartment syndrome ;;
QYD;Deep posterior compartment syndrome;Lower leg;Muscle/tendon ;Muscle compartment syndrome ;;
QYL;Lateral (peroneal) compartment syndrome;Lower leg;Muscle/tendon ;Muscle compartment syndrome ;;
QYM;Compartment syndrome multiple sites lower leg;Lower leg;Muscle/tendon ;Muscle compartment syndrome ;;
QYB;Tenoperiostitis of lower leg;Lower leg;Muscle/tendon ;Muscle compartment syndrome ;;
QTT;Anterior shin splints;Lower leg;Muscle/tendon ;Tendinopathy ;;
QT1;Medial Tibial Stress Syndrome ('shin splints');Lower leg;Muscle/tendon ;Tendinopathy ;;
QNX;Neurological Injury of Lower Leg;Lower leg;Nervous system;Nerve injury;;
QN1;Peroneal nerve palsy (with foot drop);Lower leg;Nervous system;Nerve injury;;
QI1;Lower leg soft tissue infection;Lower leg;Superficial tissues/skin ;Abrasion ;;
QVX;Vascular Injury Lower Leg;Lower leg;Vessels;Contusion/vascular;;
QY2;Acute anterior compartment syndrome;Lower leg;Muscle/tendon ;Muscle compartment syndrome ;;
QYF;Other acute compartment syndrome to lower leg;Lower leg;Muscle/tendon ;Muscle compartment syndrome ;;
QVV;Other vascular injury to lower leg;Lower leg;Vessels;Contusion/vascular;;
QV4;Popliteal artery entrapment;Lower leg;Vessels;Contusion/vascular;;
QZ1;Other Lower Leg Pain/Injury not otherwise specified;Lower leg;Non-specific ;Unknown;;
QZZ;Lower leg pain undiagnosed;Lower leg;Non-specific ;Unknown;;
AZZ;Other Ankle Pain/Injury not otherwise specified;Ankle;Non-specific ;Unknown;;
AV1;Ankle contusion/haematoma;Ankle;Vessels;Contusion/vascular;;
FV3;Heel bruising/haematoma incl fat pad contusion;Foot;Vessels;Contusion/vascular;;
AKX;Ankle laceration;Ankle;Superficial tissues/skin ;Laceration ;;
AKI;Complication of ankle laceration incl infection;Ankle;Superficial tissues/skin ;Laceration ;;
FIH;Blisters heel;Foot;Superficial tissues/skin ;Abrasion ;;
AKS;Superficial ankle laceration/abrasion;Ankle;Superficial tissues/skin ;Laceration ;;
FJX;Foot bone bruise;Foot;Bone ;Bone contusion  ;;
AKD;Deep (intraarticular) laceration ankle;Ankle;Superficial tissues/skin ;Laceration ;;
ATX;Ankle tendon injury;Ankle;Muscle/tendon ;Tendinopathy ;;
QTA;Achilles tendinopathy;Lower leg;Muscle/tendon ;Tendinopathy ;;
QTB;Achilles enthesopathy with retrocalcaneal bursitis;Lower leg;Muscle/tendon ;Tendinopathy ;;
QRA;Achilles tendon rupture;Lower leg;Muscle/tendon ;Tendon rupture ;;
QRM;Midsubstance Achilles tendon rupture;Lower leg;Muscle/tendon ;Tendon rupture ;;
QRI;Insertional Achilles tendon rupture;Lower leg;Muscle/tendon ;Tendon rupture ;;
ATE;Extensor tendon injuries at ankle;Ankle;Muscle/tendon ;Tendinopathy ;;
AT5;Tibialis anterior tenosynovitis;Ankle;Muscle/tendon ;Tendinopathy ;;
FT7;Tibialis posterior tendinopathy;Foot;Muscle/tendon ;Tendinopathy ;;
QMP;Tibialis posterior strain;Lower leg;Muscle/tendon ;Muscle injury;;
ARP;Tibialis posterior tendon rupture;Ankle;Muscle/tendon ;Tendon rupture ;;
AT7;Flexor Hallucis Longus tendinopathy;Ankle;Muscle/tendon ;Tendinopathy ;;
ARH;Flexor Hallucis Longus rupture;Ankle;Muscle/tendon ;Tendon rupture ;;
AT6;Peroneal tendinopathy;Ankle;Muscle/tendon ;Tendinopathy ;;
FR1;Peroneal tendon rupture;Foot;Muscle/tendon ;Tendon rupture ;;
ATP;Peroneal tendon subluxation/dislocation;Ankle;Muscle/tendon ;Tendinopathy ;;
ALJ;Ankle sprains;Ankle;Ligament/joint capsule ;Ligament;;
ALS;Inferior tibiofibular syndesmosis sprain;Ankle;Ligament/joint capsule ;Ligament;;
AL1;Sprain lateral collateral ligament ankle;Ankle;Ligament/joint capsule ;Ligament;;
ALR;Lateral ligaments rupture (grade 3 injury);Ankle;Ligament/joint capsule ;Ligament;;
ALC;Calcaneofibular ligament sprain;Ankle;Ligament/joint capsule ;Ligament;;
ALA;Anterior talofibular ligament sprain;Ankle;Ligament/joint capsule ;Ligament;;
AL2;Sprain medial collateral (deltoid) ligament ankle;Ankle;Ligament/joint capsule ;Ligament;;
ALM;Ankle multiple ligaments sprain;Ankle;Ligament/joint capsule ;Ligament;;
AC1;Ankle osteochondral Injuries;Ankle;Cartilage/synovium/bursa ;Cartilage ;;
AD1;Ankle dislocation;Ankle;Ligament/joint capsule ;Joint sprain;;
AEX;Ankle avascular necrosis ;Ankle;Bone ;Avascular necrosis ;;
AUX;Chronic Ankle Instability;Ankle;Ligament/joint capsule ;Chronic instability ;;
AUM;Chronic medial instability;Ankle;Ligament/joint capsule ;Chronic instability ;;
AU1;Chronic lateral instability;Ankle;Ligament/joint capsule ;Chronic instability ;;
AQX;Ankle synovitis/Impingement/Bursitis;Ankle;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
AQS;Ankle joint synovitis;Ankle;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
FQ3;Sinus tarsi syndrome (subtalar joint synovitis);Foot;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
ANT;Tarsal tunnel syndrome;Ankle;Nervous system;Nerve injury;;
AQA;Ankle anterior impingement;Ankle;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
AQP;Posterior impingement ankle;Ankle;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
QBX;Bursitis not otherwise specified;Lower leg;Cartilage/synovium/bursa ;Bursitis ;;
QBC;Calcaneal bursitis (pump bump);Lower leg;Cartilage/synovium/bursa ;Bursitis ;;
AF1;Fracture ankle;Ankle;Bone ;Fracture ;;
AFM;Medial malleolus fracture;Ankle;Bone ;Fracture ;;
AFL;Lateral malleolus fracture;Ankle;Bone ;Fracture ;;
AA1;Ankle joint osteoarthritis;Ankle;Cartilage/synovium/bursa ;Arthritis ;;
AFP;Fracture posterior malleolus;Ankle;Bone ;Fracture ;;
AFB;Bimalleolar fracture;Ankle;Bone ;Fracture ;;
AFX;Trimalleolar fracture;Ankle;Bone ;Fracture ;;
AFD;Ankle fracture with diastasis of syndesmosis;Ankle;Bone ;Fracture ;;
AFN;Fractured talar neck;Ankle;Bone ;Fracture ;;
AFS;Fractured lateral process talus;Ankle;Bone ;Fracture ;;
AFT;Fractured talar dome;Ankle;Bone ;Fracture ;;
AFO;Fractured os trigonum;Ankle;Bone ;Fracture ;;
AFG;Fractured posterior process talus;Ankle;Bone ;Fracture ;;
AF2;Fractured talus;Ankle;Bone ;Fracture ;;
FFC;Fractured calcaneus;Foot;Bone ;Fracture ;;
FFA;Fractured anterior process calcaneus;Foot;Bone ;Fracture ;;
ASX;Ankle stress fracture;Ankle;Bone ;Bone stress injury ;;
ASM;Stress fracture medial malleolus;Ankle;Bone ;Bone stress injury ;;
QSL;Stress fracture fibula at ankle;Lower leg;Bone ;Bone stress injury ;;
ASL;Stress fracture lateral malleolus;Ankle;Bone ;Bone stress injury ;;
ASC;Stress injury calcaneus;Ankle;Bone ;Bone stress injury ;;
FSC;Stress fracture calcaneus;Foot;Bone ;Bone stress injury ;;
FH3;Fat pad contusion heel;Foot;Muscle/tendon ;Muscle contusion ;;
AZS;Post ankle surgery;Ankle;Non-specific ;Unknown;;
AS1;Stress fracture talus;Ankle;Bone ;Bone stress injury ;;
ANX;Nerve injuryat Ankle;Ankle;Nervous system;Nerve injury;;
ANC;Calcaneal nerve entrapment;Ankle;Nervous system;Nerve injury;;
ANM;Medial calcaneal nerve entrapment;Ankle;Nervous system;Nerve injury;;
FAS;Subtalar joint arthritis;Foot;Cartilage/synovium/bursa ;Arthritis ;;
AZ1;Ankle Pain/Injury undiagnosed;Ankle;Non-specific ;Unknown;;
AP2;Functional pain ankle;Ankle;Non-specific ;Pain without tissue type specified ;;
FV1;Foot contusion/haematoma;Foot;Vessels;Contusion/vascular;;
FVG;Haematoma great toe;Foot;Vessels;Contusion/vascular;;
FV2;Toenail problem/contusion/haematoma;Foot;Vessels;Contusion/vascular;;
FVT;Haematoma lesser toes;Foot;Vessels;Contusion/vascular;;
FVN;Nail bed haematoma lesser toes;Foot;Vessels;Contusion/vascular;;
FVX;Other foot soft tissue bruising/haematoma not elsewhere specified;Foot;Vessels;Contusion/vascular;;
FVTN;Talon noir (black heel)/hyperkeratosis hemorrhagica;Foot;Vessels;Contusion/vascular;;
FIA;Foot abrasion;Foot;Superficial tissues/skin ;Abrasion ;;
FI2;Foot cellulitis/infected ulcer;Foot;Superficial tissues/skin ;Abrasion ;;
FKI;Complication of foot laceration incl infection;Foot;Superficial tissues/skin ;Laceration ;;
FIN;Skin infection toenail - incl infected ingrown toenail;Foot;Superficial tissues/skin ;Abrasion ;;
FIF;Blisters foot;Foot;Superficial tissues/skin ;Abrasion ;;
FIC;Callous on foot;Foot;Superficial tissues/skin ;Abrasion ;;
MRIF;Infected foot joint;Medical;;;Musculoskeletal ;Infection
FKU;Ulceration foot;Foot;Superficial tissues/skin ;Laceration ;;
FM1;Foot Muscle Strain/Spasm/trigger Points;Foot;Muscle/tendon ;Muscle injury;;
FPY;Foot muscle trigger points, cramping, spasm;Foot;Non-specific ;Pain without tissue type specified ;;
FTX;Foot Tendon Injuries;Foot;Muscle/tendon ;Tendinopathy ;;
FTT;Tibialis posterior insertional tendinopathy;Foot;Muscle/tendon ;Tendinopathy ;;
FT2;Extensor tendon injury in foot;Foot;Muscle/tendon ;Tendinopathy ;;
FUX;Foot joint chronic instability ;Foot;Ligament/joint capsule ;Chronic instability ;;
FTE;Extensor tendinopathy in foot;Foot;Muscle/tendon ;Tendinopathy ;;
FLJ;Foot Joint Sprain;Foot;Ligament/joint capsule ;Ligament;;
FT1;Plantar heel pain (fasciitis/strain/calcaneal spur);Foot;Muscle/tendon ;Tendinopathy ;;
FRP;Plantar fascia rupture;Foot;Muscle/tendon ;Tendon rupture ;;
FTM;Mid/distal plantar fasciitis;Foot;Muscle/tendon ;Tendinopathy ;;
FLF;Spring ligament sprain in foot;Foot;Ligament/joint capsule ;Ligament;;
FL1;Midfoot joint/ligament sprain (incl Lisfranc);Foot;Ligament/joint capsule ;Ligament;;
FLL;Plantar plate disruption MTP joint;Foot;Ligament/joint capsule ;Ligament;;
FPL;Sprain of great toe;Foot;Non-specific ;Pain without tissue type specified ;;
FLT;Sprained toe/'turf toe';Foot;Ligament/joint capsule ;Ligament;;
FP1;Sprain 1st MTP joint with volar plate rupture;Foot;Non-specific ;Pain without tissue type specified ;;
FLG;Sprain IP ligament(s) great toe;Foot;Ligament/joint capsule ;Ligament;;
FCX;Foot Chondral/Osteochondral Lesion;Foot;Cartilage/synovium/bursa ;Cartilage ;;
FDX;Foot Dislocation;Foot;Ligament/joint capsule ;Joint sprain;;
FDT;Dislocation of midfoot through tarsometatarsal (TMT) joints/Lisfranc dislocation;Foot;Ligament/joint capsule ;Joint sprain;;
FD2;Dislocation of great toe MTP joint;Foot;Ligament/joint capsule ;Joint sprain;;
FDM;Dislocation of lesser toe MTP joint;Foot;Ligament/joint capsule ;Joint sprain;;
FDP;Dislocation of IP joint of lesser toe;Foot;Ligament/joint capsule ;Joint sprain;;
FP2;Synovitis/Impingement/Biomechanical Lesion of Foot;Foot;Non-specific ;Pain without tissue type specified ;;
FT6;Cuboid Syndrome;Foot;Muscle/tendon ;Tendinopathy ;;
FQM;Synovitis of midfoot joints;Foot;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
FQ2;Synovitis of MTP joint(s);Foot;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
FFZ;Fracture tarsal bone;Foot;Bone ;Fracture ;;
FF1;Fracture cuboid;Foot;Bone ;Fracture ;;
FFN;Fracture navicular;Foot;Bone ;Fracture ;;
FFF;Fracture cuneiform;Foot;Bone ;Fracture ;;
FF2;Fractured metatarsal(s);Foot;Bone ;Fracture ;;
FFM;Fracture 1st Metatarsal;Foot;Bone ;Fracture ;;
FFS;Fracture 2nd Metatarsal;Foot;Bone ;Fracture ;;
FFI;Fracture 3rd metatarsal;Foot;Bone ;Fracture ;;
FF4;Fracture 4th metatarsal;Foot;Bone ;Fracture ;;
FF5;Fracture 5th metatarsal shaft;Foot;Bone ;Fracture ;;
FFB;Avulsion fracture 5th metatarsal base;Foot;Bone ;Fracture ;;
FFX;Fracture two or more metatarsals;Foot;Bone ;Fracture ;;
FFH;Fracture great toe;Foot;Bone ;Fracture ;;
FFG;Fracture great toe proximal phalanx;Foot;Bone ;Fracture ;;
FFT;Fracture great toe distal phalanx;Foot;Bone ;Fracture ;;
FF3;Fractured phalanx (foot);Foot;Bone ;Fracture ;;
FFU;Complication of fractured foot including non union;Foot;Bone ;Fracture ;;
FS1;Stress reactions/fractures in foot;Foot;Bone ;Bone stress injury ;;
FSN;Navicular stress fracture;Foot;Bone ;Bone stress injury ;;
FEN;Non union navicular stress fracture;Foot;Bone ;Avascular necrosis ;;
FSD;Cuboid stress fracture;Foot;Bone ;Bone stress injury ;;
FSF;Cuneiform stress fracture;Foot;Bone ;Bone stress injury ;;
FS2;Stress fracture metatarsal;Foot;Bone ;Bone stress injury ;;
FSA;First metatarsal stress fracture;Foot;Bone ;Bone stress injury ;;
FSS;Second metatarsal stress fracture;Foot;Bone ;Bone stress injury ;;
FSI;Third metatarsal stress fracture;Foot;Bone ;Bone stress injury ;;
FS4;Fourth metatarsal stress fracture;Foot;Bone ;Bone stress injury ;;
FS5;Fifth metatarsal stress fracture;Foot;Bone ;Bone stress injury ;;
FSB;Base second metatarsal stress fracture;Foot;Bone ;Bone stress injury ;;
FSM;Other metatarsal stress fracture;Foot;Bone ;Bone stress injury ;;
FSR;Stress reaction metatarsal/metatarsalgia;Foot;Bone ;Bone stress injury ;;
FSP;Sesamoid stress injury;Foot;Bone ;Bone stress injury ;;
FST;Sesamoid stress fracture;Foot;Bone ;Bone stress injury ;;
FES;Avascular necrosis sesamoid Great Toe;Foot;Bone ;Avascular necrosis ;;
FS3;Sesamoiditis/stress fracture;Foot;Bone ;Bone stress injury ;;
FAX;Foot Osteoarthritis;Foot;Cartilage/synovium/bursa ;Arthritis ;;
FA2;Arthritis of midfoot;Foot;Cartilage/synovium/bursa ;Arthritis ;;
FAH;Arthritis MTP joint great toe/Hallux Rigidus;Foot;Cartilage/synovium/bursa ;Arthritis ;;
FA1;Bunion of great toe metatarsophalangeal (MTP) joint;Foot;Cartilage/synovium/bursa ;Arthritis ;;
FAT;Arthritis of lesser toes;Foot;Cartilage/synovium/bursa ;Arthritis ;;
MRJTF;Claw toes;Medical;;;Musculoskeletal ;Developmental anomaly
MRJHF;Hammer toes;Medical;;;Musculoskeletal ;Developmental anomaly
FAF;Bunion 5th MTP joint;Foot;Cartilage/synovium/bursa ;Arthritis ;;
FNX;Foot Neurological Injury;Foot;Nervous system;Nerve injury;;
FN1;Morton's neuroma or Joplin's neuritis;Foot;Nervous system;Nerve injury;;
FVXX;Foot Vascular Injuries;Foot;Vessels;Contusion/vascular;;
FZX;Foot Pain/Injury Not otherwise specified;Foot;Non-specific ;Unknown;;
FZ1;Foot pain undiagnosed;Foot;Non-specific ;Unknown;;
FP5;Chronic regional pain syndrome foot;Foot;Non-specific ;Pain without tissue type specified ;;
XHU;Soft tissue bruising upper limb;Multiple;Muscle/tendon ;Muscle contusion ;;
XHL;Soft tissue bruising lower limb;Multiple;Muscle/tendon ;Muscle contusion ;;
ZKX;Laceration/Abrasion location unspecified;Unknown;Superficial tissues/skin ;Laceration ;;
XKX;Laceration/Abrasion crossing anatomical boundaries;Multiple;Superficial tissues/skin ;Laceration ;;
XKU;Laceration/abrasion upper limb;Unknown;Superficial tissues/skin ;Laceration ;;
XKL;Laceration/abrasion lower limb;Multiple;Superficial tissues/skin ;Laceration ;;
XMU;Muscle strain upper limb;Multiple;Muscle/tendon ;Muscle injury;;
XML;Muscle strain lower limb;Multiple;Muscle/tendon ;Muscle injury;;
XMS;Muscle strain spine;Multiple;Muscle/tendon ;Muscle injury;;
ZMX;Muscle injury/spasm location unspecified;Unknown;Muscle/tendon ;Muscle injury;;
XMX;Trigger points/spasm multiple locations;Multiple;Muscle/tendon ;Muscle injury;;
ZLU;Sprain location unspecified;Unknown;Ligament/joint capsule ;Ligament;;
XLU;Sprain multiple locations;Multiple;Ligament/joint capsule ;Ligament;;
LLJ;Spinal joint sprain;Lumbar Spine;Ligament/joint capsule ;Ligament;;
MNXZ;Neurological lesion  Location Unspecified or Crossing Anatomical Boundaries;Medical;;;Neurological ;Multiple
ZNS;Spinal injury location unspecified;Unknown;Nervous system;Nerve injury;;
XNS;Spinal injury crossing anatomical boundaries;Multiple;Nervous system;Nerve injury;;
XNU;Upper limb neurological injury;Multiple;Nervous system;Nerve injury;;
XNL;Lower limb neurological injury;Multiple;Nervous system;Nerve injury;;
ZVX;Vascular Injury location unspecified;Unknown;Vessels;Contusion/vascular;;
XVX;Vascular Injury Crossing Anatomical Boundaries;Multiple;Vessels;Contusion/vascular;;
XOD;Drowning;Multiple;Internal organs ;Organ trauma ;;
ZAX;Osteoarthritis location unspecified;Unknown;Cartilage/synovium/bursa ;Arthritis ;;
XAX;Osteoarthritis crossing anatomical boundaries;Multiple;Cartilage/synovium/bursa ;Arthritis ;;
XAU;Upper limb osteoarthritis;Multiple;Cartilage/synovium/bursa ;Arthritis ;;
MRJHX;Hypo or hyper - mobility of joints;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJO;Generalised hypomobility of joints;Medical;;;Musculoskeletal ;Developmental anomaly
MRJH;Generalised hypermobility of joints;Medical;;;Musculoskeletal ;Developmental anomaly
NZS;Structural Abnormality Cervical Spine;Neck;Non-specific ;Unknown;;
MRJZD;Thoracic Spine Structural Abnormality;Medical;;;Musculoskeletal ;Developmental anomaly
MRJSD;Thoracic scoliosis;Medical;;;Musculoskeletal ;Developmental anomaly
MRJYD;Thoracic kyphosis;Medical;;;Musculoskeletal ;Developmental anomaly
MRJL;Lumbosacral Spine Structural Abnormality;Medical;;;Musculoskeletal ;Developmental anomaly
MRJBL;Lumbar Scoliosis;Medical;;;Musculoskeletal ;Developmental anomaly
MRJCL;Congenital abnormality Lumbar Spine;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJB;Spina Bifida;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJLL;Lumbarisation of S1 segment;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJSL;Sacralisation of L5 segment;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJEC;Chest Structural Abnormaility;Medical;;;Musculoskeletal ;Developmental anomaly
SQC;Cervical rib;Shoulder;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
MRJXS;Shoulder Structural Abnormality;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJVW;Radioulnar variance;Medical;;;Musculoskeletal ;Developmental anomaly
WT4;Carpal boss;Wrist;Muscle/tendon ;Tendinopathy ;;
MRJ2G;Structural Abnormaility of Hip/Groin;Medical;;;Musculoskeletal ;Developmental anomaly
MRJ1G;Congenital abnormality of hip joint;Medical;;;Musculoskeletal ;Developmental anomaly
MRJDG;Congenital dislocation of hip;Medical;;;Musculoskeletal ;Developmental anomaly
MRJXK;Structural Abnormality of knee;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJPK;Bi or multipartite patella;Medical;;;Musculoskeletal ;Developmental anomaly
MRJCK;Congenital cartilage abnormality of knee;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJKK;Discoid lateral meniscus;Medical;;;Musculoskeletal ;Developmental anomaly
MRJXQ;Structural Abnormality of Lower leg;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJMQ;Muscle abnormality of lower leg;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJIQ;Accessory soleus muscle (excl inj to that muscle);Medical;;;Musculoskeletal ;Developmental anomaly
MRJUF;Tarsal Coalition of foot;Medical;;;Musculoskeletal ;Developmental anomaly
MRJT;Talonavicular Coalition;Medical;;;Musculoskeletal ;Developmental anomaly
MRJCF;Calcaneocuboid coalition;Medical;;;Musculoskeletal ;Developmental anomaly
MRJC;Calcaneonavicular coalition;Medical;;;Musculoskeletal ;Developmental anomaly
MRJXF;Structural Abnormality of Foot;Medical;;;Musculoskeletal ;Degenerative or chronic condition
MRJFF;Accessory bone foot;Medical;;;Musculoskeletal ;Developmental anomaly
ZGT;Traction Apophysitis/Osteochondrosis not elsewhere specified;Unknown;Bone ;Physis injury ;;
SGS;Traction injury to apophysis at shoulder;Shoulder;Bone ;Physis injury ;;
EGT;Traction injury to apophysis at elbow;Elbow;Bone ;Physis injury ;;
EGM;Apophysitis medial epicondyle elbow;Elbow;Bone ;Physis injury ;;
WGT;Traction injury to apophysis at wrist/hand;Wrist;Bone ;Physis injury ;;
GG1;Traction injury to apophysis at buttock and pelvis;Groin/hip;Bone ;Physis injury ;;
GGO;Apophysitis/avulsion fracture iliac crest;Groin/hip;Bone ;Physis injury ;;
GGH;Apophysitis/avulsion fracture ischial tuberosity;Groin/hip;Bone ;Physis injury ;;
GGT;Traction injury to apophysis at groin/hip joint;Groin/hip;Bone ;Physis injury ;;
